PATTES;Organes de locomotion utilisés par les insectes et les crocodiles.
CLASSER;Regrouper des êtres vivants selon leurs attributs en commun.
COMPARER;Mettre en évidence les différences et les ressemblances entre les vivants. 
COQUILLE;Carapace spécifique aux escargots, aux calmars ou encore aux moules. 
MOURIR;Verbe à l'infinitif caractérisant un être vivant qui disparait définitivement de l'environnement.
ATTRIBUT;Elément qui caractérise un être vivant, comme ses pattes, son squelette ou ses plumes. 
TRIER;Regrouper des êtres vivants selon ce qu'ils possèdent ou ne possèdent pas.
CHAMPIGNON;Se dit d'un être vivant qui vit fixé sur un support, mais qui n'est pas un végétal.
VEGETAL;Être vivant qui vit fixé sur un support et utilise le Soleil comme énergie. 
TETE;Attribut qui caractérise l'animal.
REPRODUCTION;Etape de la vie d'un vivant qui lui permet d'avoir des enfants. 
VIVANT;Être qui peut naitre, grandir, manger et mourir. 
ANTENNE;Attribut que possède un insecte au niveau de sa tête et qui lui permet de réagir à son environnement. 
ANIMAL;Se dit d'un être vivant qui possède une bouche et/ou des yeux. 
OBJET;Caractérise tout élément qui n'est pas vivant, qui peut être naturel ou artificiel. 
